Attack Type Counts,Common Attack Types,IP Address Counts
,,5.0
,,4.0
,,2.0
,,2.0
,,2.0
,,2.0
,,3.0
,,4.0
,,4.0
,,3.0
,,2.0
,,5.0
,,2.0
,,2.0
,,3.0
,,2.0
,,4.0
,,2.0
,,3.0
,,4.0
,,3.0
,,2.0
,,3.0
,,2.0
,,2.0
,,4.0
,,2.0
,,3.0
,,2.0
,,2.0
,,4.0
,,2.0
,,2.0
,,3.0
,,3.0
,,3.0
,,1.0
,,1.0
,,3.0
,,2.0
,,1.0
,,2.0
,,3.0
,,2.0
,,2.0
,,1.0
,,2.0
,,2.0
,,1.0
,,3.0
,,1.0
,,3.0
,,3.0
,,1.0
,,1.0
,,5.0
,,2.0
,,3.0
,,1.0
,,3.0
,,5.0
,,3.0
,,1.0
,,1.0
,,3.0
,,2.0
,,1.0
,,3.0
,,4.0
,,1.0
,,4.0
,,1.0
,,1.0
,,2.0
,,3.0
,,1.0
,,3.0
,,1.0
,,1.0
,,3.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,2.0
,,4.0
,,2.0
,,2.0
,,2.0
,,2.0
,,1.0
,,4.0
,,2.0
,,1.0
,,2.0
,,2.0
,,1.0
,,1.0
,,3.0
,,3.0
,,1.0
,,1.0
,,1.0
,,2.0
,,1.0
,,5.0
,,1.0
,,2.0
,,2.0
,,1.0
,,1.0
,,3.0
,,1.0
,,1.0
,,2.0
,,1.0
,,2.0
,,1.0
,,1.0
,,1.0
,,2.0
,,1.0
,,3.0
,,1.0
,,1.0
,,1.0
,,2.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,2.0
,,4.0
,,4.0
,,2.0
,,2.0
,,1.0
,,1.0
,,1.0
,,1.0
,,2.0
,,2.0
,,1.0
,,5.0
,,1.0
,,3.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,3.0
,,3.0
,,2.0
,,1.0
,,1.0
,,3.0
,,3.0
,,1.0
,,2.0
,,2.0
,,1.0
,,1.0
,,3.0
,,1.0
,,3.0
,,2.0
,,1.0
,,1.0
,,1.0
,,1.0
72.0,72.0,
4.0,,
4.0,,
70.0,70.0,
69.0,69.0,
70.0,70.0,
72.0,72.0,
